mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_learning_rate,param_neurons,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,RMSE
3.0183544953664145,0.22342200653721542,0.17739097277323404,0.014170310721431684,tanh,0.001,100,"{'activation': 'tanh', 'learning_rate': 0.001, 'neurons': 100}",-0.008924640022523217,-0.008840016645058638,-0.014764253929658246,-0.010842970199080032,0.00277298153026382,2,0.10412958368821049
3.4205943743387857,0.131570620519437,0.17618783315022787,0.011652901947595915,tanh,0.001,150,"{'activation': 'tanh', 'learning_rate': 0.001, 'neurons': 150}",-0.008942629291348016,-0.008882768390983727,-0.014445599312272331,-0.010756998998201359,0.0026083487803041814,1,0.10371595344112379
2.8201390902201333,0.23927792875423712,0.28234362602233887,0.1402707615122788,tanh,0.01,50,"{'activation': 'tanh', 'learning_rate': 0.01, 'neurons': 50}",-0.010392145198567192,-0.009207624961437627,-0.014557444962529286,-0.011385738374178035,0.0022942775275287893,6,0.10670397543755357
3.418283144632975,0.04676475950224085,0.1913762887318929,0.022987303821785415,tanh,0.01,100,"{'activation': 'tanh', 'learning_rate': 0.01, 'neurons': 100}",-0.009286159466162283,-0.009569089975730648,-0.014411842552367393,-0.011089030664753441,0.0023524202499642217,4,0.10530446649954332
3.7167277336120605,0.23520167961353128,0.18802118301391602,0.016089456980355372,tanh,0.01,150,"{'activation': 'tanh', 'learning_rate': 0.01, 'neurons': 150}",-0.009107451384176185,-0.009023142292843967,-0.018156326773678826,-0.012095640150232992,0.0042856908246265086,10,0.10998018071558617
2.624115308125814,0.13607246837673045,0.1666097640991211,0.0075788748833417905,tanh,0.1,50,"{'activation': 'tanh', 'learning_rate': 0.1, 'neurons': 50}",-0.012082477896786153,-0.009733486599305348,-0.01575479287855532,-0.012523585791548941,0.002477897557507214,13,0.11190882803223766
2.874753952026367,0.05698237474495072,0.16504605611165366,0.0035751439749217868,tanh,0.1,100,"{'activation': 'tanh', 'learning_rate': 0.1, 'neurons': 100}",-0.011302082730047113,-0.0090763486743392,-0.014863508797176142,-0.011747313400520818,0.0023834818136899876,9,0.10838502387562969
3.321521043777466,0.1446127673483126,0.17255139350891113,0.0032573906820537323,tanh,0.1,150,"{'activation': 'tanh', 'learning_rate': 0.1, 'neurons': 150}",-0.009069590498838731,-0.010392370177342843,-0.015084324996839378,-0.011515428557673651,0.0025807237827895255,8,0.1073099648572939
2.606672763824463,0.15505088458068647,0.1671594778696696,0.004195109492103039,sigmoid,0.001,50,"{'activation': 'sigmoid', 'learning_rate': 0.001, 'neurons': 50}",-0.017517627590670937,-0.00884671738634285,-0.015259740168779956,-0.013874695048597915,0.003672867492989213,16,0.11779089544017363
3.0563553174336753,0.18084445315075134,0.16956138610839844,0.0014002340945074422,sigmoid,0.001,100,"{'activation': 'sigmoid', 'learning_rate': 0.001, 'neurons': 100}",-0.008901337200785439,-0.008837950752109996,-0.018966673717536374,-0.012235320556810604,0.004759855809530266,12,0.11061338326265319
3.3832240104675293,0.09838782069814092,0.17023746172587076,0.004964107200224939,sigmoid,0.001,150,"{'activation': 'sigmoid', 'learning_rate': 0.001, 'neurons': 150}",-0.010501814384236021,-0.008838797237247039,-0.014524776864729522,-0.011288462828737527,0.0023870069002084235,5,0.10624717798011167
2.721275965372721,0.11768673415812192,0.16795635223388672,0.005111164653762433,sigmoid,0.01,50,"{'activation': 'sigmoid', 'learning_rate': 0.01, 'neurons': 50}",-0.020562902723446432,-0.00984279364142945,-0.01506961489284594,-0.015158437085907273,0.00437691685391067,18,0.12311960479918409
3.5494532585144043,0.18540840145359586,0.17883062362670898,0.006035804619826541,sigmoid,0.01,100,"{'activation': 'sigmoid', 'learning_rate': 0.01, 'neurons': 100}",-0.009456567307322927,-0.010653482019146569,-0.014408709605598891,-0.011506252977356128,0.002109714367075588,7,0.10726720364284756
3.5745185216267905,0.29402478954943334,0.17332887649536133,0.00594966750079506,sigmoid,0.01,150,"{'activation': 'sigmoid', 'learning_rate': 0.01, 'neurons': 150}",-0.01262630421842853,-0.019651585151306283,-0.014459672783101384,-0.015579187384278733,0.002975301413655529,20,0.12481661501690684
2.6656672159830728,0.11848260021636167,0.17838255564371744,0.019975174196764003,sigmoid,0.1,50,"{'activation': 'sigmoid', 'learning_rate': 0.1, 'neurons': 50}",-0.030729500751318386,-0.015477362760149771,-0.022272701876234664,-0.02282652179590094,0.006238961756733601,21,0.15108448562278307
3.0610851446787515,0.18733818766798951,0.17952116330464682,0.011014679105353689,sigmoid,0.1,100,"{'activation': 'sigmoid', 'learning_rate': 0.1, 'neurons': 100}",-0.021973290298674245,-0.01427874091146692,-0.04700474292285092,-0.027752258044330697,0.01397128371735589,23,0.16659008987431004
3.223335027694702,0.08006878203050319,0.16787338256835938,0.0023558161637753866,sigmoid,0.1,150,"{'activation': 'sigmoid', 'learning_rate': 0.1, 'neurons': 150}",-0.02805565037217381,-0.01720149517854526,-0.05706184707706309,-0.03410633087592738,0.01682597128028169,25,0.18467899413828143
