Date,Actual,Predicted_RNN,Predicted_GRU,Predicted_LSTM
2022-07-14,3637.5,3606.1987,3646.9414,3679.0266
2022-07-15,3587.5,3606.1987,3646.9414,3679.0266
2022-07-16,3587.5,3557.0464,3597.5012,3629.4978
2022-07-17,3587.5,3557.0464,3597.5012,3629.4978
2022-07-18,3675.0,3557.0464,3597.5012,3629.4978
2022-07-19,3712.5000000000005,3643.0308,3683.9956,3716.1448
2022-07-20,3950.0,3679.8333,3721.028,3753.2375
2022-07-21,3950.0,3912.2322,3955.028,3987.554
2022-07-22,3925.0000000000005,3912.2322,3955.028,3987.554
2022-07-23,3925.0000000000005,3887.8284,3930.4417,3962.9404
2022-07-24,3925.0000000000005,3887.8284,3930.4417,3962.9404
2022-07-25,3887.5,3887.8284,3930.442,3962.9407
2022-07-26,4000.0,3851.1946,3893.5425,3925.997
2022-07-27,4050.0000000000005,3960.9985,4004.1663,4036.7424
2022-07-28,4025.0000000000005,4009.7097,4053.2595,4085.8787
2022-07-29,4137.5,3985.361,4028.719,4061.317
2022-07-30,4137.5,4094.8083,4139.059,4171.739
2022-07-31,4137.5,4094.8083,4139.059,4171.739
2022-08-01,3987.5000000000005,4094.8083,4139.059,4171.739
2022-08-02,4087.5000000000005,3948.8137,3991.8862,4024.4495
2022-08-03,4125.0,4046.2031,4090.0486,4122.697
2022-08-04,4125.0,4082.6626,4126.8115,4159.4834
2022-08-05,4125.0,4082.6626,4126.8115,4159.4834
2022-08-06,4125.0,4082.6626,4126.8115,4159.4834
2022-08-07,4125.0,4082.6626,4126.8115,4159.4834
2022-08-08,4175.0,4082.6626,4126.8115,4159.4834
2022-08-09,4237.5,4131.223,4175.786,4208.4844
2022-08-10,4300.0,4191.838,4236.935,4269.6577
2022-08-11,4262.5,4252.353,4298.007,4330.741
2022-08-12,4237.5,4216.0557,4261.3735,4294.1016
2022-08-13,4237.5,4191.838,4236.935,4269.6577
2022-08-14,4237.5,4191.838,4236.935,4269.6577
2022-08-15,4225.0,4191.838,4236.935,4269.6577
2022-08-16,4262.5,4179.7217,4224.712,4257.43
2022-08-17,4262.5,4216.0557,4261.3735,4294.1016
2022-08-18,4300.0,4216.0557,4261.3735,4294.1016
2022-08-19,4250.0,4252.353,4298.007,4330.741
2022-08-20,4250.0,4203.9487,4249.1553,4281.882
2022-08-21,4250.0,4203.9487,4249.1553,4281.882
2022-08-22,4262.5,4203.9487,4249.1553,4281.882
2022-08-23,4312.5,4216.0557,4261.3735,4294.1016
2022-08-24,4312.5,4264.4453,4310.212,4342.947
2022-08-25,4287.5,4264.4453,4310.212,4342.947
2022-08-26,4250.0,4240.258,4285.7983,4318.5312
2022-08-27,4250.0,4203.9487,4249.1553,4281.882
2022-08-28,4250.0,4203.9487,4249.1553,4281.882
2022-08-29,4275.0,4203.9487,4249.1553,4281.882
2022-08-30,4325.0,4228.1587,4273.587,4306.3184
2022-08-31,4425.0,4276.5317,4322.412,4355.149
2022-09-01,4462.5,4373.083,4419.907,4452.63
2022-09-02,4425.0,4409.2197,4456.4136,4489.122
2022-09-03,4425.0,4373.083,4419.907,4452.63
2022-09-04,4425.0,4373.083,4419.907,4452.63
2022-09-05,4475.0,4373.083,4419.907,4452.63
2022-09-06,4412.5,4421.259,4468.575,4501.279
2022-09-07,4437.5,4361.0273,4407.7324,4440.4585
2022-09-08,4475.0,4385.1323,4432.0786,4464.797
2022-09-09,4537.5,4421.259,4468.575,4501.279
2022-09-10,4537.5,4481.382,4529.3335,4562.0
2022-09-11,4537.5,4481.382,4529.3335,4562.0
2022-09-12,4587.5,4481.382,4529.3335,4562.0
2022-09-13,4725.0,4529.405,4577.877,4610.5063
2022-09-14,4650.0,4661.1016,4711.0796,4743.555
2022-09-15,4675.0,4589.334,4638.4775,4671.0454
2022-09-16,4550.0,4613.275,4662.6934,4695.2324
2022-09-17,4550.0,4493.395,4541.474,4574.1333
2022-09-18,4550.0,4493.395,4541.474,4574.1333
2022-09-19,4612.5,4493.395,4541.474,4574.1333
2022-09-20,4600.0,4553.388,4602.128,4634.734
2022-09-21,4637.5,4541.3994,4590.005,4622.622
2022-09-22,4600.0,4577.357,4626.365,4658.947
2022-09-23,4600.0,4541.3994,4590.005,4622.622
2022-09-24,4600.0,4541.3994,4590.005,4622.622
2022-09-25,4600.0,4541.3994,4590.0044,4622.622
2022-09-26,4625.0,4541.3994,4590.0044,4622.622
2022-09-27,4675.0,4565.376,4614.2476,4646.841
2022-09-28,4650.0,4613.275,4662.6934,4695.2324
2022-09-29,4625.0,4589.334,4638.4775,4671.0454
2022-09-30,4712.5,4565.376,4614.2476,4646.841
2022-10-01,4712.5,4649.1514,4698.9883,4731.4805
2022-10-02,4712.5,4649.1514,4698.9883,4731.4805
2022-10-03,4637.5,4649.1514,4698.9883,4731.4805
2022-10-04,4612.5,4577.357,4626.365,4658.947
2022-10-05,4637.5,4553.388,4602.128,4634.734
2022-10-06,4662.5,4577.357,4626.365,4658.947
2022-10-07,4712.5,4601.3066,4650.587,4683.141
2022-10-08,4712.5,4649.1514,4698.9883,4731.4805
2022-10-09,4712.5,4649.1514,4698.9883,4731.4805
2022-10-10,4650.0,4649.1514,4698.9883,4731.4805
2022-10-11,4650.0,4589.334,4638.4775,4671.0454
2022-10-12,4712.5,4589.334,4638.4775,4671.0454
2022-10-13,4737.5,4649.1514,4698.9883,4731.4805
2022-10-14,4700.0,4673.047,4723.1665,4755.625
2022-10-15,4700.0,4637.197,4686.893,4719.4023
2022-10-16,4700.0,4637.197,4686.893,4719.4023
2022-10-17,4725.0,4637.197,4686.893,4719.4023
2022-10-18,4750.0,4661.1016,4711.0796,4743.555
2022-10-19,4737.5,4684.989,4735.2505,4767.6914
2022-10-20,4950.0,4673.047,4723.1665,4755.625
2022-10-21,5175.0,4875.4097,4928.08,4960.1475
2022-10-22,5175.0,5088.158,5143.8105,5175.2554
2022-10-23,5175.0,5088.158,5143.8105,5175.2554
2022-10-24,5125.0,5088.158,5143.8105,5175.2554
2022-10-25,5112.5,5041.02,5095.9834,5127.587
2022-10-26,5100.0,5029.222,5084.017,5115.6577
2022-10-27,5100.0,5017.4204,5072.0464,5103.723
2022-10-28,5100.0,5017.4204,5072.0464,5103.723
2022-10-29,5100.0,5017.4204,5072.046,5103.7236
2022-10-30,5100.0,5017.4204,5072.046,5103.7236
2022-10-31,5275.0,5017.4204,5072.046,5103.7236
2022-11-01,5200.0,5182.1885,5239.2627,5270.3584
2022-11-02,5037.5,5111.6978,5167.698,5199.06
2022-11-03,5087.5,4958.335,5012.1304,5043.983
2022-11-04,5075.0,5005.613,5060.071,5091.785
2022-11-05,5075.0,4993.801,5048.0923,5079.841
2022-11-06,5075.0,4993.801,5048.0923,5079.841
2022-11-07,5125.0,4993.801,5048.0923,5079.841
2022-11-08,5075.0,5041.02,5095.9834,5127.587
2022-11-09,5075.0,4993.801,5048.0923,5079.841
2022-11-10,5050.0,4993.801,5048.0923,5079.841
2022-11-11,5212.5,4970.1626,5024.122,5055.9395
2022-11-12,5212.5,5123.458,5179.6367,5210.956
